title,genre,language,release_date,imdb_score,cast,directors,movie_duration,plot_keywords,genres,movie_tone
Raaz-E-Sheitaan,Horror,hi,2017-10-13,0.0,['Faisal Saif'],['Sameer Khan'],1h 50m,"['debut', 'horror', 'sheitaan', 'based', 'dimension pictures based', 'film', 'dimension', 'bangladeshi', 'written', 'actor', 'real', 'pictures', 'distributed', 'directed', 'nirab', 'saif', 'khan', 'life', 'faith', 'faith pictures inc. distributed', '2017', 'faisal saif', 'sameer', 'bollywood', 'inc.', 'sameer khan', 'indian', 'faisal', 'incidents', 'banner', 'hossain', 'nirab hossain', 'thriller', 'marks']",['Horror'],"['dark', 'neutral', 'intense']"
Checkmate,Drama,hi,2017-10-13,0.0,"['Maheen Mirza', 'Rinchin Rinchin']",['Ektara Collective'],1h 12m,"['hobby', 'games', 'causing', 'matches', 'rules', 'popular', 'worker', 'find', 'bringing', 'friendly', 'secret', 'domestic', 'young', 'backdrop', 'married', 'game', 'boundaries', 'challenging', 'morality', 'underway', 'woman', 'pastime', 'pawns', 'men', 'tensions', 'pushing', 'unfriendly', 'life', 'tournament', 'religion', 'erupt', 'gets', 'roadside', 'journalist', 'love', 'chess', 'include', 'struggling', 'challenge', 'neighbourhood']",['Drama'],"['serious', 'neutral', 'uplifting']"
Beyond the Clouds,"Family, Drama",hi,2018-04-20,6.4,"['Vishal Bhardwaj', 'Mehran Kashani', 'Majid Majidi']",['Majid Majidi'],2h,"['sister', 'goes', 'busted', 'help', 'land', 'teenager', 'dealing', 'estranged', 'complications', 'jail', 'drugs', 'hedonistic', 'mumbai']","['Family', 'Drama']","['neutral', 'serious', 'emotional']"
Pushkar Puran,Documentary,hi,2017-10-14,0.0,[],['Kamal Swaroop'],unknown,"['engage', 'attempt', 'worlds', 'city', 'contemporary', 'historical', 'pushkar', 'mythical']",['Documentary'],['neutral']
Juze,Drama,hi,2018-01-17,6.2,"['Sudesh Bhise', 'Hrishikesh Naik', 'Pranav Narote']",['Miransha Naik'],1h 34m,"['young', 'tale', 'boy', 'context', 'goa', 'labour', 'exploitation', 'patterns', 'growing', 'changing']",['Drama'],"['neutral', 'serious', 'emotional']"
Gali Guleiyan,"Thriller, Drama",hi,2018-03-15,6.8,['Dipesh Jain'],['Dipesh Jain'],1h 57m,"['search', 'people', 'boy', 'old delhi', 'hidden', 'cameras', 'old', 'watching', 'lost', 'city', 'maze', 'spends', 'shopkeeper', 'beaten', 'overhears', 'delhi', 'crumbling', 'leads', 'reclusive', 'mind', 'time', 'reality']","['Thriller', 'Drama']","['serious', 'tense', 'suspenseful']"
Jio Pagla,"Comedy, Romance",hi,2017-10-17,6.5,['N.K. Salil'],['Rabi Kinagi'],2h 34m,"['situation', 'catches', 'causing', 'live', 'sujoy', 'find', 'ananda', 'dhol', 'rajasaunkar dhol', 'homeowner', 'paying', 'ananta', 'girlfriends', 'friends', 'guests', 'complicated', 'trouble', 'rajasaunkar', 'house', 'forced']","['Comedy', 'Romance']","['neutral', 'lighthearted', 'funny']"
Walking With the Wind,Drama,hi,2017-10-19,6.0,['Praveen Morchhale'],['Praveen Morchhale'],unknown,"['decides', 'chairs', 'village', 'kilometres', 'reach', 'boy', 'classmates', 'lives', 'herculean', 'journey', 'old', 'seven kilometres', 'broken', 'travels', 'tsering', 'school', 'day', '10-year-old', 'himalayas', 'bring', 'year']",['Drama'],"['adventurous', 'serious', 'neutral']"
Secret Superstar,"Drama, Music",hi,2017-10-19,7.294,['Advait Chandan'],['Advait Chandan'],2h 30m,"['domestic', 'sensation', 'goes', 'youtube', 'video', 'singer', 'living', 'talented', 'viral', 'hides', 'songwriter', 'teenage', 'abuse', 'identity']","['Drama', 'Music']","['neutral', 'serious', 'emotional']"
Golmaal Again,"Comedy, Horror, Action, Fantasy",hi,2017-10-20,5.489,"['Rohit Shetty', 'Yunus Sajawal', 'Farhad Samji']",['Rohit Shetty'],2h 20m,"['new', 'learn', 'haunted', 'best', 'ghost', 'friends', 'gopal', 'palatial', 'time', 'house', 'neighborhood', 'old']","['Comedy', 'Horror', 'Action', 'Fantasy']","['exciting', 'scary', 'tense']"
